# of Segment,from sec,to sec,from TR (TR=1 is at time21sec of theaudio file),to TR,duration (sec),duration (TRs),Difference in Beliefs ratings (1-5),,,,,Difference in Emotions ratings (1-5),,,,,Difference in Intentions ratings (1-5),,,,
,,,,,,,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY,IT,JG,MM,VS,YY
127,478.6,482,320,321,3.4,2,5,5,5,1,4,5,4,5,2,1,5,5,5,1,4
128,482,483.4,322,322,1.4,1,4,4,5,1,3,4,3,5,1,2,4,4,5,2,3
129,483.4,485.6,323,324,2.2,2,1,3,1,1,1,1,3,1,2,3,1,2,1,1,1
130,485.6,492.2,325,328,6.6,4,2,3,1,3,1,2,2,1,3,3,2,2,1,3,1
131,492.2,497.7,329,332,5.5,4,1,5,5,3,1,1,5,5,4,2,1,5,5,4,1
132,497.7,506.9,333,338,9.2,6,4,5,1,2,1,4,1,1,3,1,1,1,1,3,1
133,506.9,509.7,339,340,2.8,2,1,5,3,5,1,4,4,4,5,2,1,2,1,5,1
134,509.7,511,341,341,1.3,1,5,5,5,5,1,5,3,5,5,4,5,5,5,5,1
135,511,513.4,342,342,2.4,1,4,4,5,3,1,4,3,5,4,3,4,5,5,3,1
136,513.4,516.5,343,344,3.1,2,4,4,1,3,1,4,4,4,4,3,4,5,4,4,1
137,516.5,517.3,345,345,0.8,1,4,4,4,5,1,4,3,4,5,3,4,5,4,5,1
138,517.3,523.8,346,349,6.5,4,5,5,5,5,1,5,3,5,5,4,5,5,5,5,4
139,523.8,527.5,350,352,3.7,3,5,5,5,5,4,5,3,5,5,2,5,5,5,5,4
140,527.5,530,353,353,2.5,1,4,4,5,5,4,4,2,5,5,2,4,5,5,5,4
141,530,533.8,354,356,3.8,3,5,4,5,3,4,5,2,5,4,2,5,5,5,4,4
142,533.8,542.2,357,361,8.4,5,5,5,5,3,4,5,3,5,4,2,5,5,5,4,4
143,542.2,543.6,362,362,1.4,1,1,3,5,4,1,1,5,5,4,1,1,1,5,4,1
144,543.6,546,363,364,2.4,2,5,5,5,3,1,5,5,5,4,2,5,2,2,3,1
145,546,548.3,365,366,2.3,2,5,5,1,3,1,5,5,1,4,1,5,3,1,4,1
146,548.3,550,367,367,1.7,1,1,4,1,3,1,4,5,1,3,1,1,1,1,3,1
147,550,551.6,368,368,1.6,1,1,5,2,2,1,1,5,2,3,2,1,2,2,3,1
